,0,1,2
Model,Linear Regression,Random Forest,Gradient Boosting
MAE,11.319930407544822,43.063350121359335,46.67117883902101
RMSE,49.31007102326411,101.65258990511053,115.54034033174548
R2,0.9972224547372637,0.9881960656632848,0.9847504448931389
